XCoord,YCoord,NUMBER,BLDGABBR,BLDGNAME
1082885.05119684,3111867.39975560,0377,SUP3,Satellite Utility Plant No. 3
1082869.93735291,3112180.50293842,0468,LIBR,Evans Library
1083068.92487452,3111929.95074516,0400,SPEN,Spence Hall - Dorm 1
1083018.24045382,3111887.18031269,0401,KIES,Kiest Hall - Dorm 2
1083177.70052899,3111824.05020039,0406,LEON,Leonard Hall - Dorm 7
1083103.64734520,3111761.65188966,0407,HARL,Harrell Hall - Dorm 8
1080045.98641204,3106421.80856235, ,NULL,NULL
1080018.91301201,3106431.90702735,4052,TPSP,WWTP Secondary Pump Building
1080011.18673039,3106418.32884197, ,NULL,NULL
1080018.25760640,3106406.23309865, ,NULL,NULL
1079977.29550000,3106407.21650000,4053,TPDB,WWTP Disinfection Building
1079974.79328965,3106401.48171788, ,NULL,NULL
1080103.85810923,3106391.42861164, ,NULL,NULL
1080106.12655205,3106386.62290995, ,NULL,NULL
1080148.68949961,3106385.64173458, ,NULL,NULL
1080079.37948996,3106376.04348330, ,NULL,NULL
1080088.32771581,3106361.11849775, ,NULL,NULL
1080125.30076721,3106371.59956679, ,NULL,NULL
1080135.85649294,3106358.96504334,4054,TPBB,WWTP Digester Boiler Building
1080047.65997510,3106373.01412583, ,NULL,NULL
1080098.10250813,3106331.19495802, ,NULL,NULL
1080092.27264144,3106340.65915146, ,NULL,NULL
1080075.91779186,3106343.83782181,4051,TPPP,WWTP Primary Pump Building
1080087.26412371,3106330.82533829, ,NULL,NULL
1080072.79510497,3106315.75530958, ,NULL,NULL
1080077.96452180,3106325.30470922, ,NULL,NULL
1080066.94053675,3106325.15904211, ,NULL,NULL
1080092.09521120,3106303.90385248, ,NULL,NULL
1081599.37251070,3111892.19698221,1010,VIV2,TVMC-Small Animal Research Building
1081534.80831727,3111898.92357713, ,NULL,NULL
1083119.91992576,3111901.58821881,0402,BRIG,Briggs Hall - Dorm 3
1083200.79484454,3111914.55162639,0394,UNDE,Underwood Residence Hall
1081736.22501013,3111906.15667320,0815,ERLB,Entomology Research Lab
1079316.22309317,3111912.21080755,1153,FREE,Freeman Arena
1079281.54964387,3111864.79082677,1152,NULL,Equine Center Restroom
1078982.78590000,3111871.89880000,1492,NULL,Classroom At Challenge Course
1082672.13397111,3111885.10281994,0416,BIZL,Bizzell Hall
1083174.29309515,3111888.39767205,0404,GAIN,Gainer Hall - Dorm 5
1081520.23678594,3111845.90869926,1041,VMDL,Texas Vet Med Diagnostic Lab
1081484.36214507,3111861.13682178, ,NULL,NULL
1081254.20974593,3111882.35446397,1192,VMSB,TVMC-Surgery Building
1081552.39528444,3111877.27156464,1020,VIV3,Vivarium III
1081920.86326265,3111878.99416302,1034,AEPM,AG Engineering Power & Machinery Building
1081479.47750111,3111846.56313524, ,NULL,NULL
1081408.21003665,3111851.48211380,4634,FSSB,Variety Testing and Sorghum Breeding
1081318.78525000,3111839.23815000,1234,NULL,Dry Feed Storage Facility
1081387.35138286,3111830.27533351,1068,NULL,Crop Testing
1083037.66167204,3111832.16333761,0403,FOUN,Fountain Hall - Dorm 4
1081980.43349594,3111829.52200282,1030,AESH,AG Engr Res Lab & Shop
1082033.57563224,3111819.58018998,1084,NULL,West Campus Switching Station
1081163.77423494,3111809.15023977,0943,NULL,TVMC-Barn No 2
1080604.57435398,3111796.98455198,1225,NULL,TVMC-Animal Isolation Bldg #6
1083378.61881751,3111823.01659486, ,NULL,NULL
1083433.76203591,3111936.58964557, ,NULL,NULL
1081343.96629355,3108385.83946961, ,NULL,NULL
1081072.78856385,3109194.17146327,1272,NULL,Easterwood Airport Control Tower
1081080.54265000,3109211.98425000,1273,NULL,Easterwood Airport Electrical Vault
1080651.85820259,3112116.17919557, ,NULL,NULL
1080667.53100000,3111992.20750000, ,NULL,NULL
1080677.09645129,3112015.82130843, ,NULL,NULL
1080687.80300000,3112102.06450000, ,NULL,NULL
1080688.12710976,3112129.72133732, ,NULL,NULL
1080672.93798714,3112210.49578563, ,NULL,NULL
1080748.89611433,3112093.57978917, ,NULL,NULL
1080712.33683805,3112159.27151436, ,NULL,NULL
1080801.46696566,3112111.96957088, ,NULL,NULL
1080752.76013964,3112225.36315215, ,NULL,NULL
1080794.80913858,3112217.60744549, ,NULL,NULL
1080811.87528208,3112123.59066344, ,NULL,NULL
1080825.98565188,3112137.05219667, ,NULL,NULL
1080762.97250000,3112333.80100000, ,NULL,NULL
1080805.36348643,3112275.56608140, ,NULL,NULL
1080837.33818252,3112285.24832642, ,NULL,NULL
1080842.29950000,3112280.47400000, ,NULL,NULL
1081453.77773772,3108038.80832779,1360,NULL,ESTI Marine/EHS Office
1082296.67694641,3112342.61794581,0117,NULL,North Gate Post Office Building
1081065.34130000,3112088.62650000, ,NULL,NULL
1081401.76900000,3112176.90950000, ,NULL,NULL
1081496.19777483,3108001.22941213, ,NULL,NULL
1080706.98010854,3107762.61444453, ,NULL,NULL
1081395.99600000,3111819.76550000, ,NULL,NULL
1081225.49261385,3111885.49980045, ,NULL,NULL
1083690.65557462,3117128.79791514, ,NULL,NULL
1076448.34976044,3116053.71266507, ,NULL,NULL
1083092.42434398,3115918.38950610,2918,NULL,Executive Office Plaza, Bryan Tx
1086852.04466368,3115631.77544668,3400,USB,University Services Building
1081777.70467637,3114680.82595950,2913,NULL,3400 S Texas (Family Health Center)
1083930.75578809,3114493.94149803,3201,NULL,State HQTRS Thermal Plant
1083875.01382642,3114455.63276600,3200,NULL,Moore-Connally Building
1082354.47897431,3114349.40291363,2912,MTRO,3833 Texas Ave (Metro Center)
1084007.07846877,3113932.91942282,2917,NULL,702 E University Bldg E
1083187.36345058,3112679.44315399,8800,NULL,Bonfire Memorial Restroom
1086692.73106227,3112400.03519654,2901,NULL,Eastmark Building
1087464.78804530,3110580.34802561, ,NULL,NULL
1087346.10608457,3107327.04516830,3053,NULL,GERG Portable Building
1087308.24675858,3107320.13561012,3054,NULL,GERG Warehouse
1087345.37474117,3107336.80417672,3051,NULL,GERG East Lab & Office Building
1087342.64965662,3107294.64074816,3055,NULL,GERG Solvent Shed
1087331.92095635,3107293.11327805,3056,NULL,GERG Gas Shed
1087306.51718599,3107281.45301796,3050,GERG,GERG Main Office Building
1092280.74867728,3105333.12277233,3205,AMSB,Texas A&M System Agency Office Building
1080834.38071682,3112479.95341399, ,NULL,NULL
1080947.97501916,3112279.96335880, ,NULL,NULL
1082438.29422606,3111908.52768657,1530,ILSB,Interdisciplinary Life Sciences Building
1082834.40271444,3111147.82339483,1547,NULL,McFerrin Athletic Center-Indoor Football
1082780.82702446,3111207.18177590,1548,ITRK,McFerrin Athletic Center-Indoor Track
1079560.91814062,3111401.47470021,1236,NULL,Small Horse Barn
1082269.53562753,3111973.14455242,0427,FOWL,Fowler Residence Hall
1082949.13893234,3112176.59775161,0357,NULL,Vending Machine Booth
1081435.62809188,3111797.39297769,1184,VAPA,Veterinary Anatomic Pathology
1081159.37869324,3111447.83659495,1900,TIGM,Texas A&M Institute For Genomic Medicine
1081109.31830000,3111420.50375000, ,NULL,NULL
1081017.54194787,3111961.89158241,0991,NULL,VMP Shop
1081029.28760000,3112229.42340000, ,NULL,NULL
1070170.23076919,3114246.81433346,7007,RNCH,Automated Fabrication and Design Lab
1082268.00054802,3110906.32631753,1558,NULL,Cox-McFerrin Center for Aggie Basketball
1069979.61935050,3114728.81904947,7439,NULL,Telecommunications Optical Remote Bldg-Riverside
1068591.19011114,3114047.64320288,7066,NULL,TEEX - LAW Driving Track Pavilion
1069142.19524947,3113759.19872504,8600,NULL,TEEX - LAW UXO Demo Range Pavilion
1080952.28237455,3112384.49877420, ,NULL,NULL
1080949.55094817,3112444.32245211, ,NULL,NULL
1080815.20456682,3111396.40683334, ,NULL,NULL
1080212.59435000,3111575.04185000, ,NULL,NULL
1080213.26237984,3111695.46608158, ,NULL,NULL
1080776.09035000,3111823.11050000, ,NULL,NULL
1081028.41143973,3110321.24182539,1599,2RPK,2 Research Park
1069791.17320423,3113497.13423316,7041,NULL,U.S.D.A. Hangar No.2
1069842.40571967,3113477.96256844,8685,NULL,TEEX - LAW Firing Range Classroom
1069791.79800000,3113478.75150000,7042,NULL,U.S.D.A. Hangar No.1
1069863.82450000,3113378.06250000, ,NULL,NULL
1069849.42016482,3113337.58506343, ,NULL,NULL
1069849.69415883,3113333.58502378, ,NULL,NULL
1069855.23847388,3113328.54709314, ,NULL,NULL
1069866.54950000,3113325.97650000,NULL,NULL,NULL
1069396.43330000,3113283.44720000,7030,NULL,TTI Sediment & Erosion Control Lab
1068481.46616755,3113205.93950764, ,NULL,NULL
1070144.71970258,3113109.13234174,8691,NULL,SEWAGE PLANT
1068424.07536515,3113013.53371256,8002,NULL,ANSC  ANIMAL SHELTERS
1069173.91799952,3112395.71649393, ,NULL,NULL
1082234.03182423,3112045.32828528,0412,MOSE,Moses Residence Hall
1082263.09237856,3112074.74086110,1412,NULL,Civilian Lounge - A2
1082166.36191885,3112036.16318358,0415,DAVI,Davis-Gary Residence Hall
1082193.36686085,3112005.22118195,1415,CVLNA3,Civilian Lounge - A3
1069942.42548077,3114842.04166526, ,NULL,NULL
1069352.50902166,3114840.51552107, ,NULL,NULL
1069751.29515343,3114826.09372385, ,NULL,NULL
1069998.05050000,3114825.16550000, ,NULL,NULL
1069419.43900000,3114816.87550000, ,NULL,NULL
1069720.15720633,3114823.03356054,7500,NULL,TTI Research Pendulum Test Facility
1069520.17956552,3114798.95620194, ,NULL,NULL
1069484.89850000,3114795.94500000, ,NULL,NULL
1069936.85573458,3114804.99564623,7535,NULL,AM VI Office and Shops
1069813.23333689,3114773.80405243,6095,NULL,TTI Research Storage
1070157.20350000,3114127.88000000,7002,NULL,Storage Building
1069750.74611431,3114124.89385324,7061,NULL,TTI Sediment & Erosion Control Support Lab
1070057.05196341,3114058.11840616,7240,NULL,TEEX Copy Center
1069740.35700000,3114028.63500000,7077,NULL,CONTROL TOWER
1070484.25474815,3114010.73260261,7802,NULL,TEEX - LAW Prop House #2
1070655.09672483,3113879.46362788,6881,NULL,Bath House
1069808.00351029,3113877.05793350,7057,NULL,TEES Records Archive
1069788.41230316,3113876.79243939,7056,NULL,Electrical and Computer Engineering Solar
1070039.38438734,3113873.41070825,8236,NULL,Instructional Materials Serv
1069771.30093659,3113838.04269756,6047,NULL,Chemical Supplies Storage
1068852.42468977,3113797.14766192, ,NULL,NULL
1081184.62571069,3109213.94808662,0759,WIND,Nicks Low Speed Wind Tunnel
1081181.17216178,3109187.48239870,0744,NULL,Wind Tunnel Compressor Building
1081095.55308483,3109162.65455571,0755,NULL,Easterwood General Aviation Terminal
1081179.69283959,3109127.94594735,0754,NULL,Easterwood Shops
1081277.03930268,3109117.75228653,1297,NULL,Land, Air, Space Robotics
1081428.05160922,3108148.96506554,1143,NULL,ESTI Fixed System Classroom
1081299.05057578,3108160.08720358,0344,NULL,ESTI Recruit Classroom/Fire Station
1081538.99000944,3107929.31133124,1337,NULL,ESTI Drill Towners (Steel/Brick) Shelter
1081363.03316051,3107935.37545629,0688,NULL,ESTI Industrial Technician Office/Shop
1081440.22973977,3107925.71407124,0342,NULL,ESTI Field Maintenance Office
1081392.63847503,3107908.71766033,0689,NULL,ESTI Warehouse Building
1081411.40823297,3107897.27459825,1287,NULL,ESTI EMS Shop/Storage Building
1081978.93553685,3107881.23627729,0149,NULL,ESTI Haz Mat Office
1081570.81359257,3107847.62906331,1140,NULL,ESTI Extinguisher Refill Building
1082013.96041440,3107843.04966072,0148,NULL,ESTI Haz Mat Classroom
1082045.58179225,3107829.08687482,1285,NULL,ESTI Multi-Use Shelter
1082416.08291953,3112225.10676488,0495,SBSA,Sbisa Dining Hall
1082501.77401635,3112197.52529288,0420,MILN,Milner Hall
1081635.79271485,3109099.16493726, ,NULL,NULL
1081170.46534103,3109109.90323941,1091,NULL,Easterwood Hangar 1091
1081199.06283447,3109081.41748714,1259,NULL,Airport-Aircraft Hanger J
1081892.59378810,3108908.52818278,1203,PSNP,Poultry Sci Nutrition & Phys
1081860.34494058,3108878.63783184,1205,NULL,Poultry Science Feed Mixing
1081903.21286292,3108874.20669318,1204,NULL,Poultry Sci Environmental Res
1081798.15795903,3108867.87918966,1212,NULL,Poultry Science Broiler #2
1081834.19449700,3108863.82783595,1206,NULL,Poultry Sci Equipment Storage
1081981.29000000,3108838.53250000,1218,NULL,Refuse Collection Maintenance
1081740.00084696,3108838.40401360,1210,NULL,PS Intensive Mgt & Rearing
1081813.77950000,3108833.69850000,1211,NULL,Poultry Science Broiler #1
1081845.12730314,3108810.70540138,1208,NULL,Poultry Sci Comparative Rearing
1081754.57836676,3108806.52152884,1209,NULL,Poultry Sci Integrated Repro
1083208.55791610,3112119.56146986,0441,KRUE,Krueger Residence Hall
1080958.56341215,3112100.45960081,0977,NULL,CMP-Animal Housing Unit
1081646.11742350,3112091.55788688,0277,NULL,TX FOREST SERVICE GREENHOUSE
1082408.64429184,3112115.25088700,0294,LECH,Lechner Residence Hall
1081630.43716170,3112087.04952427,1188,NULL,Forest Science Storage
1080943.04500000,3112093.38980000,1086,NULL,CMP-Housing Unit
1081447.36184360,3112103.92777819,0955,NULL,Soil/Crop Cotton Genetic Greenhouse
1081364.41300000,3112026.21850000,1078,NULL,Soil & Crop Peanut Greenhouse
1081428.86367880,3112021.41027140,1063,NULL,Greenhouse-Cotton Taxonomy
1081682.86624849,3112018.04362651,1167,NULL,CUSE-Insect Testing Lab
1081442.80869149,3112034.42679546,1029,NULL,Agronomy Implement Storage
1081701.46850257,3112024.43891820,1043,NULL,Mosquito Research Lab
1081681.87714187,3111627.76535272,1509,MEDL,Medical Sciences Library
1083087.09104126,3111572.83265416,0630,PRVP,Vice President's Residence
1081652.95248230,3111537.25743520,1504,REYN,Reynolds Medical Sciences Building
1081824.84145111,3111584.38054695,1511,WCLF,West Campus Library Facility
1081578.90767546,3111803.18352636,0880,NULL,TVMC-Small Animal Building
1083401.06180193,3111874.61932586,0378,SSPG,South Side Parking Garage
1082005.75536655,3111487.83575529, ,NULL,NULL
1082200.01274622,3113379.07301872, ,NULL,NULL
1082235.78332680,3113379.90704186, ,NULL,NULL
1082181.21759982,3113459.91213722, ,NULL,NULL
1082222.99901001,3113469.99236477, ,NULL,NULL
1082268.27546071,3113461.55214985, ,NULL,NULL
1083345.75798787,3111861.52697770, ,NULL,NULL
1082314.90684157,3112006.69331431,1427,NULL,Civilian Lounge - A1
1080948.63208154,3112961.41358212, ,NULL,NULL
1080973.92681979,3112902.90113722,1242,NULL,Utilities Water Operations Building F&B Storage
1081892.58449353,3107663.92316761, ,NULL,NULL
1081903.88089616,3107659.31654832,1333,NULL,ESTI Lifting/Moving Shelter
1081890.31184838,3107588.79411728,1377,NULL,ESTI Office Complex Building Collapse
1081949.85929431,3107575.06052480,1375,NULL,ESTI Tunneling System
1081915.05169101,3107556.19420461,1376,NULL,ESTI Single Family Building Collapse
1081857.22228564,3107549.06295937,1383,NULL,ESTI Strip Mall Collapse
1081805.24945663,3107550.39698111,1380,NULL,ESTI Industrial Complex Bldg Collapse
1081893.70957811,3107520.55880447,1379,NULL,ESTI Multi-Purpose Building Collapse
1081460.82480000,3107985.79875000,1362,NULL,ESTI Marines Ship Deck Fires Shelter
1080893.29510000,3112057.35325000, ,NULL,NULL
1080995.22429737,3111958.09377682, ,NULL,NULL
1080869.44917275,3111944.12224592, ,NULL,NULL
1080673.94569044,3111889.65681418, ,NULL,NULL
1080885.73895778,3111907.55458659, ,NULL,NULL
1080909.94298443,3111883.39131008, ,NULL,NULL
1080936.20180284,3111874.15728321, ,NULL,NULL
1081282.57395494,3111886.27495281, ,NULL,NULL
1081294.81844712,3111897.16837752, ,NULL,NULL
1081289.06346748,3111935.93288047, ,NULL,NULL
1081279.15120142,3111928.50859650, ,NULL,NULL
1081270.01560173,3111920.28649276, ,NULL,NULL
1081641.66497461,3112125.68713845, ,NULL,NULL
1081638.12145951,3112123.05456545, ,NULL,NULL
1081647.28911077,3112119.15287718, ,NULL,NULL
