GarageName,lon,lat
SSG,1083401.1613000035,3111874.579599999
CCG,1082997.6169999987,3112170.5764000006
NSG,1082438.8288000003,3112446.9222999997
WCG,1082387.8407000005,3111258.5273
UCG,1082918.8505000025,3111676.0588000007
CAIN,1082470.882600002,3111601.868999999
None,1082958.3566000015,3113378.736299999
None,1082708.2826000005,3113061.898699999
